configuration,switches,repetition,dpid,status,per_switch_us,batch_us
x509,5,1,3,OK,2354.258,5628.528
x509,5,1,1,OK,2470.605,5628.528
x509,5,1,4,OK,3380.399,5628.528
x509,5,1,2,OK,4164.280,5628.528
x509,5,1,5,OK,5508.706,5628.528
x509,5,2,3,OK,2482.054,6695.801
x509,5,2,1,OK,2648.609,6695.801
x509,5,2,4,OK,4887.803,6695.801
x509,5,2,5,OK,5028.022,6695.801
x509,5,2,2,OK,6563.977,6695.801
x509,5,3,1,OK,1831.270,3475.257
x509,5,3,3,OK,1813.708,3475.257
x509,5,3,2,OK,1839.995,3475.257
x509,5,3,4,OK,1836.208,3475.257
x509,5,3,5,OK,3367.566,3475.257
x509,5,4,3,OK,4568.908,8148.238
x509,5,4,1,OK,5942.585,8148.238
x509,5,4,4,OK,7238.414,8148.238
x509,5,4,2,OK,7347.037,8148.238
x509,5,4,5,OK,7364.859,8148.238
x509,5,5,1,OK,3838.672,6428.928
x509,5,5,3,OK,3263.040,6428.928
x509,5,5,5,OK,3251.088,6428.928
x509,5,5,2,OK,5678.396,6428.928
x509,5,5,4,OK,5696.138,6428.928
x509,5,6,1,OK,2689.101,7354.400
x509,5,6,5,OK,3157.342,7354.400
x509,5,6,4,OK,4523.737,7354.400
x509,5,6,2,OK,6822.466,7354.400
x509,5,6,3,OK,7209.523,7354.400
x509,5,7,1,OK,5181.714,8065.040
x509,5,7,2,OK,5055.189,8065.040
x509,5,7,3,OK,5011.392,8065.040
x509,5,7,4,OK,7671.432,8065.040
x509,5,7,5,OK,7676.030,8065.040
x509,5,8,3,OK,3060.771,5333.875
x509,5,8,2,OK,3481.207,5333.875
x509,5,8,1,OK,3579.992,5333.875
x509,5,8,4,OK,3534.291,5333.875
x509,5,8,5,OK,5221.435,5333.875
x509,5,9,1,OK,2362.182,4279.264
x509,5,9,2,OK,2356.772,4279.264
x509,5,9,3,OK,2365.238,4279.264
x509,5,9,4,OK,3439.073,4279.264
x509,5,9,5,OK,4172.415,4279.264
x509,5,10,3,OK,3550.360,8115.151
x509,5,10,4,OK,5712.947,8115.151
x509,5,10,2,OK,6216.561,8115.151
x509,5,10,1,OK,6979.996,8115.151
x509,5,10,5,OK,7843.498,8115.151
