configuration,switches,repetition,dpid,status,per_switch_us,batch_us
baseline,20,8,3,OK,2857.116,5187.031
baseline,20,8,7,OK,2831.354,5187.031
baseline,20,8,8,OK,2835.365,5187.031
baseline,20,8,13,OK,2800.939,5187.031
baseline,20,8,15,OK,2793.788,5187.031
baseline,20,8,11,OK,3125.500,5187.031
baseline,20,8,17,OK,3158.292,5187.031
baseline,20,8,10,OK,3231.589,5187.031
baseline,20,8,18,OK,3569.387,5187.031
baseline,20,8,4,OK,3725.365,5187.031
baseline,20,8,12,OK,3672.717,5187.031
baseline,20,8,14,OK,4222.502,5187.031
baseline,20,8,6,OK,4320.006,5187.031
baseline,20,8,1,OK,4444.977,5187.031
baseline,20,8,9,OK,4337.395,5187.031
baseline,20,8,5,OK,4392.118,5187.031
baseline,20,8,19,OK,4879.939,5187.031
baseline,20,8,16,OK,4931.123,5187.031
baseline,20,8,20,OK,4911.307,5187.031
baseline,20,9,1,OK,5439.411,9225.678
baseline,20,9,2,OK,5422.643,9225.678
baseline,20,9,4,OK,5416.666,9225.678
baseline,20,9,5,OK,5417.529,9225.678
baseline,20,9,6,OK,5417.770,9225.678
baseline,20,9,7,OK,5418.953,9225.678
baseline,20,9,9,OK,5423.646,9225.678
baseline,20,9,17,OK,5377.116,9225.678
baseline,20,9,3,OK,6863.662,9225.678
baseline,20,9,13,OK,6816.710,9225.678
baseline,20,9,8,OK,6872.266,9225.678
baseline,20,9,15,OK,6826.598,9225.678
baseline,20,9,16,OK,6829.366,9225.678
baseline,20,9,20,OK,6811.134,9225.678
baseline,20,9,19,OK,6859.390,9225.678
baseline,20,9,10,OK,7697.765,9225.678
baseline,20,9,14,OK,7691.368,9225.678
baseline,20,9,11,OK,7729.765,9225.678
baseline,20,9,18,OK,8957.073,9225.678
baseline,20,9,12,OK,9026.548,9225.678
baseline,20,10,2,OK,1241.649,10165.137
baseline,20,10,4,OK,1270.580,10165.137
baseline,20,10,3,OK,1295.529,10165.137
baseline,20,10,6,OK,3637.007,10165.137
baseline,20,10,1,OK,3745.192,10165.137
baseline,20,10,13,OK,3644.178,10165.137
baseline,20,10,10,OK,3673.971,10165.137
baseline,20,10,11,OK,3684.751,10165.137
baseline,20,10,8,OK,3712.890,10165.137
baseline,20,10,19,OK,3662.529,10165.137
baseline,20,10,12,OK,4401.104,10165.137
baseline,20,10,16,OK,4859.562,10165.137
baseline,20,10,9,OK,5001.019,10165.137
baseline,20,10,15,OK,5008.802,10165.137
baseline,20,10,14,OK,5033.361,10165.137
baseline,20,10,7,OK,7286.720,10165.137
baseline,20,10,5,OK,8723.096,10165.137
baseline,20,10,20,OK,9868.754,10165.137
baseline,20,10,18,OK,9931.570,10165.137
baseline,20,10,17,OK,9988.801,10165.137
