configuration,switches,repetition,dpid,status,per_switch_us,batch_us
baseline,20,1,2,OK,3589.362,20733.071
baseline,20,1,1,OK,3738.993,20733.071
baseline,20,1,16,OK,3627.439,20733.071
baseline,20,1,10,OK,4954.909,20733.071
baseline,20,1,6,OK,6359.646,20733.071
baseline,20,1,7,OK,6407.289,20733.071
baseline,20,1,5,OK,8478.066,20733.071
baseline,20,1,18,OK,8519.764,20733.071
baseline,20,1,8,OK,11748.613,20733.071
baseline,20,1,12,OK,13299.140,20733.071
baseline,20,1,14,OK,14510.833,20733.071
baseline,20,1,11,OK,15020.073,20733.071
baseline,20,1,17,OK,16115.179,20733.071
baseline,20,1,3,OK,18413.455,20733.071
baseline,20,1,15,OK,18620.347,20733.071
baseline,20,1,9,OK,18916.769,20733.071
baseline,20,1,20,OK,19633.432,20733.071
baseline,20,1,4,OK,19755.235,20733.071
baseline,20,1,13,OK,20533.240,20733.071
baseline,20,1,19,OK,20543.008,20733.071
baseline,20,2,1,OK,8466.177,9034.725
baseline,20,2,2,OK,8484.359,9034.725
baseline,20,2,3,OK,8494.558,9034.725
baseline,20,2,4,OK,8502.440,9034.725
baseline,20,2,5,OK,8506.832,9034.725
baseline,20,2,6,OK,8512.007,9034.725
baseline,20,2,7,OK,8514.995,9034.725
baseline,20,2,8,OK,8517.853,9034.725
baseline,20,2,9,OK,8524.842,9034.725
baseline,20,2,10,OK,8530.499,9034.725
baseline,20,2,11,OK,8535.583,9034.725
baseline,20,2,12,OK,8539.002,9034.725
baseline,20,2,13,OK,8543.014,9034.725
baseline,20,2,14,OK,8547.828,9034.725
baseline,20,2,15,OK,8550.775,9034.725
baseline,20,2,16,OK,8554.887,9034.725
baseline,20,2,17,OK,8559.139,9034.725
baseline,20,2,18,OK,8564.093,9034.725
baseline,20,2,19,OK,8569.298,9034.725
baseline,20,2,20,OK,8269.406,9034.725
baseline,20,3,1,OK,14397.083,16380.716
baseline,20,3,2,OK,14390.324,16380.716
baseline,20,3,3,OK,14399.018,16380.716
baseline,20,3,4,OK,14416.086,16380.716
baseline,20,3,5,OK,14429.233,16380.716
baseline,20,3,6,OK,14440.133,16380.716
baseline,20,3,7,OK,14448.296,16380.716
baseline,20,3,8,OK,14452.629,16380.716
baseline,20,3,9,OK,14457.874,16380.716
baseline,20,3,10,OK,14465.104,16380.716
baseline,20,3,11,OK,14471.381,16380.716
baseline,20,3,12,OK,14476.416,16380.716
baseline,20,3,13,OK,14481.741,16380.716
baseline,20,3,15,OK,14481.390,16380.716
baseline,20,3,14,OK,14508.215,16380.716
baseline,20,3,16,OK,14508.085,16380.716
baseline,20,3,17,OK,14512.477,16380.716
baseline,20,3,18,OK,15147.491,16380.716
baseline,20,3,19,OK,15388.668,16380.716
baseline,20,3,20,OK,16183.431,16380.716
baseline,20,4,1,OK,2993.760,5402.667
baseline,20,4,2,OK,2979.651,5402.667
baseline,20,4,3,OK,2985.407,5402.667
baseline,20,4,4,OK,2994.603,5402.667
baseline,20,4,5,OK,3004.350,5402.667
baseline,20,4,6,OK,3012.022,5402.667
baseline,20,4,7,OK,3018.008,5402.667
baseline,20,4,8,OK,3022.892,5402.667
baseline,20,4,9,OK,3029.260,5402.667
baseline,20,4,10,OK,3035.608,5402.667
baseline,20,4,12,OK,3036.440,5402.667
baseline,20,4,14,OK,3037.763,5402.667
baseline,20,4,15,OK,3073.575,5402.667
baseline,20,4,11,OK,3154.943,5402.667
baseline,20,4,18,OK,3727.943,5402.667
baseline,20,4,13,OK,3779.929,5402.667
baseline,20,4,17,OK,3771.916,5402.667
baseline,20,4,16,OK,3799.774,5402.667
baseline,20,4,20,OK,4100.600,5402.667
baseline,20,4,19,OK,5212.583,5402.667
baseline,20,5,1,OK,7110.063,12074.269
baseline,20,5,2,OK,7121.275,12074.269
baseline,20,5,3,OK,7126.469,12074.269
baseline,20,5,4,OK,7130.972,12074.269
baseline,20,5,5,OK,7152.944,12074.269
baseline,20,5,6,OK,7153.485,12074.269
baseline,20,5,7,OK,7154.628,12074.269
baseline,20,5,8,OK,7156.945,12074.269
baseline,20,5,9,OK,7164.015,12074.269
baseline,20,5,10,OK,7168.939,12074.269
baseline,20,5,14,OK,7151.329,12074.269
baseline,20,5,11,OK,8094.699,12074.269
baseline,20,5,12,OK,8129.166,12074.269
baseline,20,5,17,OK,8508.021,12074.269
baseline,20,5,15,OK,10845.186,12074.269
baseline,20,5,20,OK,10939.882,12074.269
baseline,20,5,16,OK,11411.989,12074.269
baseline,20,5,19,OK,11434.050,12074.269
baseline,20,5,13,OK,11517.334,12074.269
baseline,20,5,18,OK,11743.259,12074.269
baseline,20,6,1,OK,8048.981,9317.545
baseline,20,6,2,OK,8135.264,9317.545
baseline,20,6,3,OK,8874.781,9317.545
baseline,20,6,4,OK,8939.343,9317.545
baseline,20,6,6,OK,8957.283,9317.545
baseline,20,6,7,OK,8973.067,9317.545
baseline,20,6,8,OK,8983.055,9317.545
baseline,20,6,10,OK,8992.491,9317.545
baseline,20,6,11,OK,9007.153,9317.545
baseline,20,6,12,OK,9015.486,9317.545
baseline,20,6,13,OK,9022.285,9317.545
baseline,20,6,14,OK,9030.128,9317.545
baseline,20,6,15,OK,9035.934,9317.545
baseline,20,6,17,OK,9037.337,9317.545
baseline,20,6,18,OK,9044.156,9317.545
baseline,20,6,19,OK,9050.053,9317.545
baseline,20,6,20,OK,9056.291,9317.545
baseline,20,6,5,OK,9182.866,9317.545
baseline,20,6,16,OK,9132.474,9317.545
baseline,20,6,9,OK,9182.516,9317.545
baseline,20,7,1,OK,1743.207,4233.323
baseline,20,7,2,OK,1727.382,4233.323
baseline,20,7,4,OK,1724.876,4233.323
baseline,20,7,8,OK,1708.079,4233.323
baseline,20,7,12,OK,1700.958,4233.323
baseline,20,7,6,OK,2937.091,4233.323
baseline,20,7,5,OK,2975.398,4233.323
baseline,20,7,16,OK,2925.408,4233.323
baseline,20,7,9,OK,2978.498,4233.323
baseline,20,7,19,OK,2935.036,4233.323
baseline,20,7,18,OK,2950.569,4233.323
baseline,20,7,15,OK,2976.833,4233.323
baseline,20,7,17,OK,3007.559,4233.323
baseline,20,7,11,OK,3053.548,4233.323
baseline,20,7,20,OK,3014.568,4233.323
baseline,20,7,3,OK,4052.935,4233.323
baseline,20,7,10,OK,4038.766,4233.323
baseline,20,7,7,OK,4072.080,4233.323
baseline,20,7,13,OK,4050.448,4233.323
baseline,20,7,14,OK,4070.104,4233.323
baseline,20,8,2,OK,2826.279,5187.031
