configuration,switches,repetition,dpid,status,per_switch_us,batch_us
x509,30,1,1,OK,15867.378,31599.462
x509,30,1,2,OK,15859.605,31599.462
x509,30,1,5,OK,15853.424,31599.462
x509,30,1,4,OK,15870.955,31599.462
x509,30,1,9,OK,15853.685,31599.462
x509,30,1,15,OK,15831.205,31599.462
x509,30,1,18,OK,15826.397,31599.462
x509,30,1,19,OK,15831.566,31599.462
x509,30,1,6,OK,15915.742,31599.462
x509,30,1,22,OK,15835.703,31599.462
x509,30,1,8,OK,15924.457,31599.462
x509,30,1,24,OK,15843.978,31599.462
x509,30,1,21,OK,15870.554,31599.462
x509,30,1,3,OK,15983.730,31599.462
x509,30,1,16,OK,15918.076,31599.462
x509,30,1,29,OK,19820.156,31599.462
x509,30,1,7,OK,19974.874,31599.462
x509,30,1,12,OK,19960.879,31599.462
x509,30,1,14,OK,19962.141,31599.462
x509,30,1,30,OK,19883.786,31599.462
x509,30,1,13,OK,20189.925,31599.462
x509,30,1,27,OK,23304.843,31599.462
x509,30,1,26,OK,25689.718,31599.462
x509,30,1,23,OK,26053.358,31599.462
x509,30,1,28,OK,26064.818,31599.462
x509,30,1,25,OK,27108.353,31599.462
x509,30,1,20,OK,28234.641,31599.462
x509,30,1,10,OK,29491.345,31599.462
x509,30,1,11,OK,29525.915,31599.462
x509,30,1,17,OK,31405.396,31599.462
x509,30,2,1,OK,4290.251,29454.221
x509,30,2,2,OK,4266.150,29454.221
x509,30,2,3,OK,4269.295,29454.221
x509,30,2,4,OK,4270.146,29454.221
x509,30,2,10,OK,5998.206,29454.221
x509,30,2,5,OK,6279.613,29454.221
x509,30,2,17,OK,10352.268,29454.221
x509,30,2,12,OK,10847.825,29454.221
x509,30,2,14,OK,14217.884,29454.221
x509,30,2,26,OK,14143.916,29454.221
x509,30,2,24,OK,16154.484,29454.221
x509,30,2,11,OK,16662.684,29454.221
x509,30,2,20,OK,17670.987,29454.221
x509,30,2,21,OK,22670.847,29454.221
x509,30,2,29,OK,23694.617,29454.221
x509,30,2,30,OK,23715.344,29454.221
x509,30,2,19,OK,25294.124,29454.221
x509,30,2,9,OK,25754.921,29454.221
x509,30,2,15,OK,25375.905,29454.221
x509,30,2,18,OK,25375.285,29454.221
x509,30,2,13,OK,26297.580,29454.221
x509,30,2,7,OK,26701.829,29454.221
x509,30,2,27,OK,26215.728,29454.221
x509,30,2,8,OK,27320.068,29454.221
x509,30,2,16,OK,27217.592,29454.221
x509,30,2,22,OK,27183.052,29454.221
x509,30,2,23,OK,27191.266,29454.221
x509,30,2,28,OK,27393.486,29454.221
x509,30,2,6,OK,28602.888,29454.221
x509,30,2,25,OK,28808.563,29454.221
x509,30,3,30,OK,11279.203,41859.014
x509,30,3,10,OK,12199.645,41859.014
x509,30,3,29,OK,12092.751,41859.014
x509,30,3,12,OK,12256.713,41859.014
x509,30,3,23,OK,12182.956,41859.014
x509,30,3,6,OK,12345.207,41859.014
x509,30,3,1,OK,12480.320,41859.014
x509,30,3,7,OK,12367.124,41859.014
x509,30,3,9,OK,12428.571,41859.014
x509,30,3,20,OK,12374.007,41859.014
x509,30,3,11,OK,12474.120,41859.014
x509,30,3,17,OK,12444.819,41859.014
x509,30,3,15,OK,12476.714,41859.014
x509,30,3,21,OK,18098.309,41859.014
x509,30,3,13,OK,20259.548,41859.014
x509,30,3,19,OK,22046.910,41859.014
x509,30,3,14,OK,22127.660,41859.014
x509,30,3,28,OK,22033.607,41859.014
x509,30,3,22,OK,22975.556,41859.014
x509,30,3,25,OK,26449.877,41859.014
x509,30,3,2,OK,32655.532,41859.014
x509,30,3,24,OK,32548.767,41859.014
x509,30,3,8,OK,32717.569,41859.014
x509,30,3,5,OK,36362.475,41859.014
x509,30,3,18,OK,37570.645,41859.014
x509,30,3,3,OK,38629.918,41859.014
x509,30,3,16,OK,38550.941,41859.014
x509,30,3,4,OK,38671.360,41859.014
x509,30,3,27,OK,39416.699,41859.014
x509,30,3,26,OK,41520.318,41859.014
x509,30,4,1,OK,6674.556,27249.950
x509,30,4,2,OK,6629.228,27249.950
x509,30,4,3,OK,6632.473,27249.950
x509,30,4,4,OK,6631.883,27249.950
x509,30,4,5,OK,6631.903,27249.950
x509,30,4,7,OK,6621.104,27249.950
