configuration,switches,repetition,dpid,status,per_switch_us,batch_us
x509,10,1,3,OK,5117.143,20886.362
x509,10,1,1,OK,5297.302,20886.362
x509,10,1,2,OK,6787.733,20886.362
x509,10,1,4,OK,8649.303,20886.362
x509,10,1,10,OK,17661.513,20886.362
x509,10,1,5,OK,17749.056,20886.362
x509,10,1,7,OK,18342.832,20886.362
x509,10,1,6,OK,19100.863,20886.362
x509,10,1,9,OK,19367.141,20886.362
x509,10,1,8,OK,20749.483,20886.362
x509,10,2,4,OK,8889.491,11666.667
x509,10,2,3,OK,8999.074,11666.667
x509,10,2,2,OK,9039.928,11666.667
x509,10,2,1,OK,9112.147,11666.667
x509,10,2,7,OK,9053.104,11666.667
x509,10,2,8,OK,9066.160,11666.667
x509,10,2,9,OK,9078.323,11666.667
x509,10,2,5,OK,9161.615,11666.667
x509,10,2,10,OK,11496.918,11666.667
x509,10,2,6,OK,11555.831,11666.667
x509,10,3,5,OK,3109.539,9558.765
x509,10,3,2,OK,3183.684,9558.765
x509,10,3,4,OK,3183.233,9558.765
x509,10,3,1,OK,3271.829,9558.765
x509,10,3,6,OK,4827.170,9558.765
x509,10,3,8,OK,6556.112,9558.765
x509,10,3,7,OK,7986.467,9558.765
x509,10,3,3,OK,8104.163,9558.765
x509,10,3,10,OK,9339.367,9558.765
x509,10,3,9,OK,9401.279,9558.765
x509,10,4,1,OK,7141.965,16569.026
x509,10,4,2,OK,7137.694,16569.026
x509,10,4,3,OK,7150.780,16569.026
x509,10,4,4,OK,7159.474,16569.026
x509,10,4,5,OK,7828.128,16569.026
x509,10,4,6,OK,9924.047,16569.026
x509,10,4,10,OK,11015.824,16569.026
x509,10,4,9,OK,12165.350,16569.026
x509,10,4,8,OK,13055.848,16569.026
x509,10,4,7,OK,16404.239,16569.026
x509,10,5,2,OK,2516.856,6709.066
x509,10,5,1,OK,2596.657,6709.066
x509,10,5,5,OK,2543.771,6709.066
x509,10,5,3,OK,3714.105,6709.066
x509,10,5,4,OK,4328.307,6709.066
x509,10,5,6,OK,4622.834,6709.066
x509,10,5,9,OK,4464.224,6709.066
x509,10,5,7,OK,5357.229,6709.066
x509,10,5,10,OK,5679.964,6709.066
x509,10,5,8,OK,6583.950,6709.066
x509,10,6,3,OK,5341.426,7986.346
x509,10,6,1,OK,5515.488,7986.346
x509,10,6,2,OK,5417.988,7986.346
x509,10,6,8,OK,5368.350,7986.346
x509,10,6,7,OK,5388.796,7986.346
x509,10,6,6,OK,5409.865,7986.346
x509,10,6,10,OK,5385.307,7986.346
x509,10,6,9,OK,5423.542,7986.346
x509,10,6,4,OK,7562.753,7986.346
x509,10,6,5,OK,7587.722,7986.346
x509,10,7,1,OK,4979.252,9672.240
x509,10,7,2,OK,4907.423,9672.240
x509,10,7,3,OK,4907.233,9672.240
x509,10,7,4,OK,4910.000,9672.240
x509,10,7,5,OK,4599.740,9672.240
x509,10,7,6,OK,4558.606,9672.240
x509,10,7,8,OK,4706.375,9672.240
x509,10,7,10,OK,8127.929,9672.240
x509,10,7,7,OK,8226.372,9672.240
x509,10,7,9,OK,8977.795,9672.240
x509,10,8,7,OK,2261.418,7338.791
x509,10,8,1,OK,3198.155,7338.791
x509,10,8,10,OK,3108.656,7338.791
x509,10,8,5,OK,5959.619,7338.791
x509,10,8,6,OK,6032.079,7338.791
x509,10,8,2,OK,6093.911,7338.791
x509,10,8,3,OK,6095.205,7338.791
x509,10,8,8,OK,6067.628,7338.791
x509,10,8,4,OK,6536.207,7338.791
x509,10,8,9,OK,7172.741,7338.791
x509,10,9,1,OK,3723.070,9217.388
x509,10,9,2,OK,3721.365,9217.388
x509,10,9,4,OK,3719.038,9217.388
x509,10,9,3,OK,3749.192,9217.388
x509,10,9,7,OK,5293.352,9217.388
x509,10,9,9,OK,5313.979,9217.388
x509,10,9,10,OK,7761.092,9217.388
x509,10,9,6,OK,8930.022,9217.388
x509,10,9,8,OK,8990.108,9217.388
x509,10,9,5,OK,9078.824,9217.388
x509,10,10,2,OK,4948.907,10398.311
x509,10,10,1,OK,5107.096,10398.311
x509,10,10,9,OK,4925.102,10398.311
x509,10,10,4,OK,4988.196,10398.311
x509,10,10,7,OK,4964.551,10398.311
x509,10,10,3,OK,5566.299,10398.311
x509,10,10,5,OK,6659.940,10398.311
x509,10,10,6,OK,7431.348,10398.311
x509,10,10,10,OK,10046.677,10398.311
x509,10,10,8,OK,10119.889,10398.311
