configuration,switches,repetition,dpid,status,per_switch_us,batch_us
baseline,30,1,2,OK,7769.104,44405.599
baseline,30,1,3,OK,7794.992,44405.599
baseline,30,1,4,OK,7795.994,44405.599
baseline,30,1,13,OK,20600.931,44405.599
baseline,30,1,7,OK,20964.404,44405.599
baseline,30,1,22,OK,20859.984,44405.599
baseline,30,1,23,OK,20869.992,44405.599
baseline,30,1,17,OK,20941.772,44405.599
baseline,30,1,1,OK,21507.784,44405.599
baseline,30,1,6,OK,21075.386,44405.599
baseline,30,1,30,OK,21861.498,44405.599
baseline,30,1,25,OK,23287.886,44405.599
baseline,30,1,24,OK,30890.868,44405.599
baseline,30,1,8,OK,31169.355,44405.599
baseline,30,1,15,OK,31124.443,44405.599
baseline,30,1,19,OK,33798.647,44405.599
baseline,30,1,26,OK,33787.187,44405.599
baseline,30,1,16,OK,33923.936,44405.599
baseline,30,1,5,OK,37093.027,44405.599
baseline,30,1,14,OK,37300.776,44405.599
baseline,30,1,9,OK,37374.660,44405.599
baseline,30,1,11,OK,37370.122,44405.599
baseline,30,1,12,OK,39411.541,44405.599
baseline,30,1,28,OK,39302.542,44405.599
baseline,30,1,21,OK,39382.798,44405.599
baseline,30,1,27,OK,40612.770,44405.599
baseline,30,1,29,OK,40646.481,44405.599
baseline,30,1,18,OK,42699.661,44405.599
baseline,30,1,20,OK,43131.838,44405.599
baseline,30,1,10,OK,43823.990,44405.599
baseline,30,2,1,OK,12233.227,15117.180
baseline,30,2,2,OK,12221.905,15117.180
baseline,30,2,3,OK,12228.117,15117.180
baseline,30,2,4,OK,12235.640,15117.180
baseline,30,2,5,OK,12241.161,15117.180
baseline,30,2,6,OK,12247.202,15117.180
baseline,30,2,7,OK,12252.261,15117.180
baseline,30,2,8,OK,12260.295,15117.180
baseline,30,2,9,OK,12269.122,15117.180
baseline,30,2,10,OK,12274.541,15117.180
baseline,30,2,11,OK,12279.570,15117.180
baseline,30,2,12,OK,12284.059,15117.180
baseline,30,2,13,OK,12287.846,15117.180
baseline,30,2,14,OK,12292.445,15117.180
baseline,30,2,15,OK,12297.814,15117.180
