configuration,switches,repetition,dpid,status,per_switch_us,batch_us
x509,20,7,17,OK,19230.574,35733.396
x509,20,7,20,OK,19234.595,35733.396
x509,20,7,7,OK,19344.830,35733.396
x509,20,7,12,OK,19327.713,35733.396
x509,20,7,13,OK,32199.561,35733.396
x509,20,7,4,OK,32406.254,35733.396
x509,20,7,10,OK,32396.567,35733.396
x509,20,7,6,OK,32459.141,35733.396
x509,20,7,14,OK,32426.400,35733.396
x509,20,7,9,OK,32483.779,35733.396
x509,20,7,19,OK,32440.399,35733.396
x509,20,7,18,OK,32512.439,35733.396
x509,20,7,16,OK,33268.083,35733.396
x509,20,7,11,OK,33976.918,35733.396
x509,20,7,5,OK,35558.431,35733.396
x509,20,8,3,OK,2646.977,30106.480
x509,20,8,1,OK,3899.549,30106.480
x509,20,8,5,OK,7280.561,30106.480
x509,20,8,14,OK,7253.124,30106.480
x509,20,8,9,OK,10420.062,30106.480
x509,20,8,7,OK,10474.223,30106.480
x509,20,8,4,OK,12051.825,30106.480
x509,20,8,19,OK,12978.344,30106.480
x509,20,8,6,OK,21694.614,30106.480
x509,20,8,17,OK,21681.988,30106.480
x509,20,8,12,OK,21745.374,30106.480
x509,20,8,16,OK,23318.294,30106.480
x509,20,8,10,OK,25802.841,30106.480
x509,20,8,11,OK,28237.589,30106.480
x509,20,8,13,OK,28251.056,30106.480
x509,20,8,8,OK,28921.325,30106.480
x509,20,8,15,OK,28975.314,30106.480
x509,20,8,18,OK,29001.306,30106.480
x509,20,8,20,OK,29019.356,30106.480
x509,20,8,2,OK,29703.322,30106.480
x509,20,9,2,OK,5163.442,38349.408
x509,20,9,1,OK,5375.079,38349.408
x509,20,9,3,OK,7829.011,38349.408
x509,20,9,17,OK,9117.783,38349.408
x509,20,9,6,OK,9905.576,38349.408
x509,20,9,10,OK,20631.808,38349.408
x509,20,9,8,OK,20797.366,38349.408
x509,20,9,9,OK,27145.994,38349.408
x509,20,9,11,OK,28468.119,38349.408
x509,20,9,4,OK,29334.229,38349.408
x509,20,9,19,OK,32934.899,38349.408
x509,20,9,20,OK,32987.435,38349.408
x509,20,9,13,OK,34233.048,38349.408
x509,20,9,12,OK,34623.500,38349.408
x509,20,9,5,OK,35131.849,38349.408
x509,20,9,15,OK,37643.772,38349.408
x509,20,9,7,OK,37780.992,38349.408
x509,20,9,18,OK,37655.755,38349.408
x509,20,9,14,OK,37718.118,38349.408
x509,20,9,16,OK,37705.744,38349.408
x509,20,10,2,OK,8118.252,25319.902
x509,20,10,6,OK,7847.532,25319.902
x509,20,10,9,OK,7826.635,25319.902
x509,20,10,8,OK,7856.607,25319.902
x509,20,10,3,OK,12888.966,25319.902
x509,20,10,5,OK,12965.528,25319.902
x509,20,10,1,OK,13249.255,25319.902
x509,20,10,13,OK,12731.360,25319.902
x509,20,10,7,OK,15814.365,25319.902
x509,20,10,14,OK,19113.068,25319.902
x509,20,10,18,OK,19141.757,25319.902
x509,20,10,11,OK,19232.931,25319.902
x509,20,10,16,OK,19225.771,25319.902
x509,20,10,4,OK,20944.564,25319.902
x509,20,10,10,OK,20871.914,25319.902
x509,20,10,12,OK,21559.690,25319.902
x509,20,10,15,OK,22612.900,25319.902
x509,20,10,17,OK,23036.744,25319.902
x509,20,10,19,OK,23271.986,25319.902
x509,20,10,20,OK,24541.114,25319.902
