configuration,switches,repetition,dpid,status,per_switch_us,batch_us
baseline,5,1,1,OK,4309.178,8128.328
baseline,5,1,4,OK,4281.988,8128.328
baseline,5,1,2,OK,5154.437,8128.328
baseline,5,1,3,OK,7087.580,8128.328
baseline,5,1,5,OK,7957.504,8128.328
baseline,5,2,1,OK,1060.113,2048.364
baseline,5,2,2,OK,1875.798,2048.364
baseline,5,2,5,OK,1869.726,2048.364
baseline,5,2,4,OK,1895.114,2048.364
baseline,5,2,3,OK,1917.594,2048.364
baseline,5,3,1,OK,2564.821,3027.368
baseline,5,3,3,OK,2498.228,3027.368
baseline,5,3,2,OK,2538.052,3027.368
baseline,5,3,5,OK,2531.340,3027.368
baseline,5,3,4,OK,2582.012,3027.368
baseline,5,4,3,OK,2830.308,4139.807
baseline,5,4,1,OK,3141.337,4139.807
baseline,5,4,4,OK,2925.251,4139.807
baseline,5,4,5,OK,3729.014,4139.807
baseline,5,4,2,OK,3851.469,4139.807
baseline,5,5,1,OK,2533.242,3285.071
baseline,5,5,2,OK,2528.734,3285.071
baseline,5,5,3,OK,2536.889,3285.071
baseline,5,5,5,OK,2601.097,3285.071
baseline,5,5,4,OK,3170.801,3285.071
baseline,5,6,1,OK,1683.966,2042.974
baseline,5,6,2,OK,1666.003,2042.974
baseline,5,6,3,OK,1671.093,2042.974
baseline,5,6,4,OK,1676.012,2042.974
baseline,5,6,5,OK,1929.427,2042.974
baseline,5,7,1,OK,1393.243,4886.395
baseline,5,7,2,OK,2541.819,4886.395
baseline,5,7,4,OK,2572.505,4886.395
baseline,5,7,5,OK,2124.384,4886.395
baseline,5,7,3,OK,4702.949,4886.395
baseline,5,8,1,OK,2423.161,3878.047
baseline,5,8,2,OK,2080.352,3878.047
baseline,5,8,3,OK,2077.017,3878.047
baseline,5,8,4,OK,3018.833,3878.047
baseline,5,8,5,OK,3363.784,3878.047
baseline,5,9,2,OK,1239.321,2178.081
baseline,5,9,1,OK,1329.196,2178.081
baseline,5,9,4,OK,1287.399,2178.081
baseline,5,9,3,OK,1939.945,2178.081
baseline,5,9,5,OK,2062.460,2178.081
baseline,5,10,1,OK,1227.730,3741.918
baseline,5,10,2,OK,1213.414,3741.918
baseline,5,10,3,OK,1731.484,3741.918
baseline,5,10,5,OK,1741.742,3741.918
baseline,5,10,4,OK,3577.336,3741.918
